20170309210331939,RW:2U:DV:3L:0F:QG,5G_T 0FQG,-52,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210331942,LU:4E:EW:JT:XH:7Y,5G_T XH7Y,-87,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210331944,8Z:ES:7S:ZG:OC:WG,5G_T OCWG,-52,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210331945,SC:55:48:8Z:68:W6,5G_T 68W6,-68,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210332237,H0:FF:7T:BG:RH:0V,5G_T RH0V,-40,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210332242,45:1O:TW:C8:0C:KH,5G_T 0CKH,-58,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210332245,JX:C2:B1:6K:ZH:UY,5G_T ZHUY,-47,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210332247,FK:DU:6Q:46:4W:MZ,5G_T 4WMZ,-55,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210332537,PF:MM:UL:NT:8Y:Y9,5G_T 8YY9,-49,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210332540,YI:CM:UJ:BZ:DJ:63,5G_T DJ63,-83,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210332542,YZ:YE:TJ:XC:SZ:R3,5G_T SZR3,-74,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210332544,1E:VD:ZM:L4:QB:DL,5G_T QBDL,-76,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210332838,85:UZ:KB:9Q:H6:WH,5G_T H6WH,-78,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210332840,NH:AE:DP:7A:FI:65,5G_T FI65,-79,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210332842,GN:ST:EF:BX:VP:NX,5G_T VPNX,-68,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210332844,93:XE:UB:LT:1P:F2,5G_T 1PF2,-43,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210333139,4S:U0:DK:G7:F4:QR,5G_T F4QR,-80,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210333143,8P:R4:MZ:AC:DX:CO,5G_T DXCO,-63,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210333146,JI:HU:V3:NP:JQ:KR,5G_T JQKR,-88,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210333149,RN:UO:75:60:5N:2E,5G_T 5N2E,-65,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210333438,W2:F7:KD:HI:V0:A4,5G_T V0A4,-45,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210333439,OM:IL:WM:IL:OW:VC,5G_T OWVC,-61,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210333440,UH:3W:EB:0F:VM:68,5G_T VM68,-50,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210333441,0G:4C:I6:9J:YG:H5,5G_T YGH5,-59,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210333739,HC:QX:XU:6L:XH:YR,5G_T XHYR,-45,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210333740,3S:BK:X4:XG:D7:2I,5G_T D72I,-65,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210333741,VH:XS:LZ:2Z:3V:7F,5G_T 3V7F,-51,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210333742,15:H0:AJ:OP:GR:1L,5G_T GR1L,-44,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334037,2B:D5:EB:K5:HF:XF,5G_T HFXF,-47,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334038,A4:XG:JC:T8:4Z:LS,5G_T 4ZLS,-78,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334039,1J:LS:59:9T:SA:LM,5G_T SALM,-76,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334040,OL:JR:OJ:EM:A7:54,5G_T A754,-46,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334337,25:29:9T:CT:F9:AW,5G_T F9AW,-88,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334339,LF:ZX:IV:1T:8I:8F,5G_T 8I8F,-63,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334340,KK:WU:01:Z8:LV:S6,5G_T LVS6,-46,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334342,QY:K3:WN:IS:3P:DR,5G_T 3PDR,-48,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334638,V5:LR:MV:WP:HK:X0,5G_T HKX0,-81,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334639,2I:PM:IU:DD:MF:D4,5G_T MFD4,-77,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334639,WP:NP:2W:VO:P6:G7,5G_T P6G7,-73,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334640,1O:6F:D5:4J:YL:YL,5G_T YLYL,-79,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334937,Y9:VT:BX:CL:1N:TN,5G_T 1NTN,-59,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334938,FN:7T:CT:7U:08:FZ,5G_T 08FZ,-51,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334939,JZ:L2:Z8:9L:WB:BZ,5G_T WBBZ,-56,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210334940,PD:VB:NB:FT:YC:YM,5G_T YCYM,-71,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210335238,MF:OT:96:KI:4Z:17,5G_T 4Z17,-63,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210335239,9I:YE:2A:LO:3C:HT,5G_T 3CHT,-75,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
20170309210335241,XU:EF:3K:WQ:6I:RT,5G_T 6IRT,-50,1
1,37.565487,127.019299,4,0.000000,0.000000,29,2017-02-23 09:49:34,(1/1)
