20170309210331939,IR:ZR:E6:V1:VA:SD,5G_T VASD,-72,1
1,35.868602,128.693423,4,0.000000,0.000000,81,2017-02-24 12:50:45,(1/3)
20170309210331946,J4:V2:5O:IS:ZU:QA,5G_T ZUQA,-66,1
1,35.868602,128.693423,4,0.000000,0.000000,81,2017-02-24 12:50:45,(1/3)
20170309210334937,0V:Q1:MK:EY:Q4:OZ,5G_T Q4OZ,-61,1
1,35.868602,128.693423,4,0.000000,0.000000,81,2017-02-24 12:50:45,(1/3)
20170309210334938,7B:V9:37:S5:L2:B1,5G_T L2B1,-68,1
1,35.868602,128.693423,4,0.000000,0.000000,81,2017-02-24 12:50:45,(1/3)
20170309210337937,YB:4Q:66:GH:N5:6F,5G_T N56F,-89,1
1,35.868602,128.693423,4,0.000000,0.000000,81,2017-02-24 12:50:45,(1/3)
20170309210337941,YG:L7:RK:EH:CI:LK,5G_T CILK,-41,1
1,35.868602,128.693423,4,0.000000,0.000000,81,2017-02-24 12:50:45,(1/3)
